mezzanine,massive attack,9.3
prelapsarian,krallice,7.9
all of them naturals,uranium club,7.3
new start,taso,8.1
insecure (music from the hbo original series),various artists,7.4
stillness in wonderland,little simz,7.1
tehillim,yotam avni,7.0
reflection,brian eno,7.7
filthy america its beautiful,the lox,5.3
clear sounds/perfetta,harry bertoia,8.0
run the jewels 3,run the jewels,8.6
nadir,steven warwick,7.6
december 99th,yasiin bey,3.5
punk45: les punks: the french connection (the first wave of french punk 1977-80),various artists,6.6
brnshj (puncak),senyawa,7.4
///// effectual,jamire williams,7.2
love you to death,the-dream,7.0
what graceless dawn,worm ouroboros,7.5
not the actual events ep,nine inch nails,6.3
holy science,elder ones,7.8
the wasp factory,ben frost,7.3
a very kacey christmas,kacey musgraves,6.8
turn into,jay som,8.2
traditional music of notional species vol. ii,rashad becker,6.8
swiss radio days vol. 41 - zurich 1961,ray charles,9.0
do what thou wilt.,ab-soul,4.4
the great southern trendkill,pantera,7.7
the return of east atlanta santa,gucci mane,7.6
jackie ost,mica levi,7.1
pieces in space,sammus,7.2
fireplace: thenottheotherside,hodgy,5.0
slight freedom,jeff parker,8.0
in the loop: a decade of remixes,a-trak,6.4
heart song,jess williamson,7.7
american boyfriend: a suburban love story,kevin abstract,6.4
throat,adr,7.1
w:/2016album/,deadmau5,5.9
oh no no no remixes ep,jessy lanza,6.5
grunewald,peter broderick,6.7
chronology,qasim naqvi,7.5
stoney,post malone,4.5
bob dylan: the 1966 live recordings,bob dylan,9.3
equality now ep,peder mannerfelt,7.1
4 your eyez only,j. cole,6.7
the early years 1965-1972,pink floyd,8.8
skin companion ep i,flume,6.6
hologram mparatorluu,gaye su akyol,7.4
sketches for my sweetheart the drunk,jeff buckley,8.0
the hamilton mixtape,various artists,4.8
bucket list project,saba,7.0
bobo yy: belle poque in upper volta,various artists,8.4
welcome to sideways,simian mobile disco,6.8
box,gas,9.5
zero gravity ep,kodie shane,7.8
africa express presents... the orchestra of syrian musicians & guests,the orchestra of syrian musicians,8.0
blessed initiative,blessed initiative,7.5
peace trail,neil young,6.7
badmotorfinger,soundgarden,8.3
relationships,nick hook,7.0
der klang der offenbarung des gttlichen,kjartan sveinsson,7.8
blue & lonesome,the rolling stones,6.9
how to disappear in america,young male,7.4
harlequin,alex izenberg,6.3
zoovier,fetty wap,6.4
the weight of these wings,miranda lambert,7.8
love and noir.,denitia and sene,6.6
darkness and light,john legend,7.0
only heaven,coldcut,5.2
the devil and god are raging inside me,brand new,8.5
singles,sun ra,8.7
hxan,dungen,6.9
broken knowz,jay daniel,7.5
out of time,r.e.m.,8.4
24k magic,bruno mars,6.2
keita sano,keita sano,7.4
amore per tutti,tredici bacci,7.0
young death / nightmarket,burial,6.9
red friday,yg,7.2
abendrot,you blew it!,7.2
what you get for being young,suzanne kraft,8.0
starboy,the weeknd,6.7
mystery cove,monster rally,6.5
woman,justice,5.2
wonderland,demdike stare,8.2
defy a thing to be,bully fae,6.5
l.a. heartbreak,rainbow arabia,6.5
before the dawn,kate bush,8.5
the d-boy diary books 1 & 2,e-40,6.8
on behalf of nature,meredith monk,8.1
young narrator in the breakers,pavo pavo,7.2
sixth stitch,via app,7.4
death certificate,ice cube,9.5
redemption,dawn richard,8.0
vergers,sarah davachi,7.5
a o r t a,vicky chow,7.3
boots no. 1: the official revival bootleg,gillian welch,7.9
worry.,jeff rosenstock,8.0
wyatt at the coyote palace,kristin hersh,7.5
hardwired...to self-destruct,metallica,6.5
shadow boat ep,porter ricks,8.0
ring spiel tour 95,mike watt,8.0
daniel bachman,daniel bachman,7.3
incunabula,autechre,8.2
