Both Directions at Once: The Lost Album,John Coltrane,8.6
Hello It’s Me,Chris Crofton,7.4
Sink Ya Teeth,Sink Ya Teeth,7.0
Errorzone,Vein,7.8
The Now Now,Gorillaz,6.8
Freddie,Freddie Gibbs,7.8
Joytime II,Marshmello,4.2
Passwords,Dawes,5.6
Zebra,Arp,7.6
Year of the Snitch,Death Grips,7.3
Renaissance Man,MIKE,7.5
Love Junction,Lorenzo BITW,6.7
Come to Canada You Will Like It,Project Pablo,5.9
K.T.S.E.,Teyana Taylor,7.8
Best Kids,Best Coast,7.0
Hawaiki Tapes,M. Geddes Gengras,6.9
Wet Will Always Dry,Blawan,7.2
International Artist,A Boogie Wit Da Hoodie,6.3
Lord of Lords,Alice Coltrane,8.0
Simple Answers,Charlie Looker,7.6
200% Galcher,Galcher Lustwerk,7.7
Kazuashita,Gang Gang Dance,7.7
Heaven’s Only Wishful EP,MorMor,8.0
для FOR,Kate NV,8.1
Dies Iræ Xerox,DJ Richard,7.8
To Record Only Water for Ten Days,John Frusciante,8.0
Redemption,Jay Rock,8.0
Bad Witch,Nine Inch Nails,8.0
Babelsberg,Gruff Rhys,7.8
Post Traumatic,Mike Shinoda,3.8
Heaven and Earth,Kamasi Washington,8.8
Lower East Suite Part Three,Onyx Collective,7.6
4275,Jacquees,6.9
Moodie EP,Yuno,7.4
June,Brendon Anderegg,7.4
Nasty,Rico Nasty,8.0
Sorpresa Familia,Mourn,7.7
Call the Comet,Johnny Marr,6.0
Déjàvu,Matty,6.6
Nasir,Nas,6.1
Nothing Is Still,Leon Vynehall,8.2
Liberation,Christina Aguilera,6.7
Bon Voyage,Melody’s Echo Chamber,7.1
Everything Is Love,BeyoncéJAY-Z,8.2
Collagically Speaking,R+R=NOW,7.0
Ecstatic Arrow,Virginia Wing,7.8
Cloud Corner,Marisa Anderson,7.8
Head Over Heels,Chromeo,5.7
Make My Bed EP,King Princess,7.1
Home Boy, Sister Out,Don Cherry,6.0
New Bodies,Tangents,7.9
Super Fly,Curtis Mayfield,9.1
Hereditary (Original Motion Picture Soundtrack),Colin Stetson,7.6
Come Tomorrow,Dave Matthews Band,5.0
Stranger Fruit,Zeal & Ardor,7.3
The Graduate (Original Motion Picture Soundtrack),Simon & GarfunkelDave Grusin,6.2
OIL OF EVERY PEARL’s UN-INSIDES,SOPHIE,8.6
Consolation EP,Protomartyr,7.7
Devotion,Laura Jean,6.8
Showtime EP,Baba Stiltz,6.9
Hope Downs,Rolling Blackouts Coastal Fever,8.1
soil,serpentwithfeet,8.1
The Midnight Hour,Ali Shaheed MuhammadAdrian Younge,6.7
Remain in Light,Angélique Kidjo,7.7
Mental Wounds Not Healing,UniformThe Body,7.8
so sad so sexy,Lykke Li,6.4
No Shame,Lily Allen,6.3
Bruce Wayne,Fetty Wap,5.4
IRISIRI,Eartheater,7.4
Whack World,Tierra Whack,8.3
Lost & Found,Jorja Smith,8.1
Constant Image,Flasher,7.9
Roach Goin’ Down,Palberta,7.8
Kids See Ghosts,Kanye WestKid Cudi,7.6
Insula,Proc Fiskal,7.9
Shannon in Nashville,Shannon Shaw,7.5
Childqueen,Kadhja Bonet,7.7
The Band,The Band,10
3rd Ward Bounce EP,Big Freedia,6.1
Kicker EP,The Get Up Kids,6.7
Lightlessness Is Nothing New,Maps & Atlases,7.0
An ASMR Album,Brandon Wardell,5.7
Lush,Snail Mail,8.7
LUMP,LUMP,7.7
Both,Okay Kaya,7.0
Our Raw Heart,YOB,8.0
Listening to Pictures (Pentimento Volume One),Jon Hassell,7.3
The Future and the Past,Natalie Prass,7.7
Prequelle,Ghost,6.1
Strata EP,Jesse James Solomon,6.8
Stereo EP,Omar Apollo,6.8
Streams of Thought, Vol. 1,Black Thought,7.5
Still EP,Mazzy Star,7.1
Patina Echoes,Various Artists,7.8
You, Forever,Sam Evian,6.8
Hell-On,Neko Case,7.7
Sacrifices,Prefuse 73,5.9
Assimilation,Ben Vince,7.6
Winning Star Champion,Ruler,7.1
ye,Kanye West,7.1
The Long Sleep,Jenny Hval,7.9
Wildness,Snow Patrol,4.8
Deeper,Deeper,6.9
Live Through This,Hole,10
Age Of,Oneohtrix Point Never,7.8
Lush Life,Bonjay,7.4
Return of the Frog Queen,Jeremy Enigk,7.8
Dream House,Âme,4.8
God’s Favorite Customer,Father John Misty,8.5
Goodbye & Good Riddance,Juice WRLD,6.4
Cruel Practice,Shygirl,7.6
Skulls Example,Dear Nora,7.5
Cave Vaults of the Moon,Joanne Forman,6.8
Vibras,J Balvin,8.0
Diary 001 EP,Clairo,7.0
V.,Wooden Shjips,7.3
Shawn Mendes,Shawn Mendes,5.1
Love Is Dead,Chvrches,6.3
Medicaid Fraud Dogg,Parliament,7.3
Tracyanne & Danny,Tracyanne & Danny,7.4
cc EP,Klein,7.7
Testing,A$AP Rocky,6.7
Sink EP,Sudan Archives,7.5
Paz & Amor EP,DJ Lilocox,7.8
Midnight Marker,Shy Layers,7.9
Black Soap,MIKE,7.8
Only Built 4 Cuban Linx,Raekwon,9.5
Sugar & Spice EP,Hatchie,7.5
Big Wave More Fire,DJDS,7.3
Uptown Festival,Shalamar,4.2
Puff LP: In the air without a shape,Bernice,7.5
Daytona,Pusha-T,8.3
Themes for Television,Johnny Jewel,7.0
The Return,Kamaal Williams,8.0
(((echo chamber))),MC Paul Barman,6.0
Perfume EP,Wand,7.7
Double Dream of Spring,Deerhunter,7.2
Love Yourself 轉 ‘Tear’,BTS,7.1
Light of Mine,KYLE,6.9
Steamroom 40,Jim O’Rourke,8.0
Harder Than Ever,Lil Baby,6.6
Reckless,Nav,5.3
Luminosity Device,Surgeon,7.0
Deeper Woods,Sarah Louise,7.8
Tell Me How You Really Feel,Courtney Barnett,7.4
Deafman Glance,Ryley Walker,7.9
Yesterday’s Tomorrows,Moomin,6.6
Angels of Death,Jennifer Castle,7.6
Wide Awake!,Parquet Courts,8.0
Happy Ending,Wax Idols,7.1
Saved,Now, Now,7.1
Wax Chattels,Wax Chattels,6.5
Spirit in the Dark,Aretha Franklin,9.0
Tunnel of Love,Bruce Springsteen,9.5
Buck Meek,Buck Meek,7.2
Cannonball!,Sen Morimoto,7.7
Everything Matters But No One Is Listening,Quiet Slang,5.4
Sparkle Hard,Stephen Malkmus and the Jicks,8.0
Rausch,GAS,7.8
Letters of Irrelevance,Patrick Paige II,7.5
Violet Psalms,Frog Eyes,7.7
Hundreds of Days,Mary Lattimore,7.8
Compro,Skee Mask,8.6
Period,City Girls,6.5
To Drink From the Night Itself,At the Gates,7.3
Faminine Mystique,oOoOO Islamiq Grrrls,6.8
Die Lit,Playboi Carti,8.5
Mark Kozelek,Mark Kozelek,6.8
In the Rainbow Rain,Okkervil River,6.9
Failed Celestial Creatures,David GrubbsTaku Unami,7.6
NTS Sessions 1-4,Autechre,8.2
I Have Fought Against It, But I Can’t Any Longer.,The Body,7.8
Kiss Yr Frenemies,Illuminati Hotties,7.3
NORF: The Legend of Hotboy Ronald,Lorde Fredd33,7.5
Tranquility Base Hotel & Casino,Arctic Monkeys,8.1
Activated,Tee Grizzley,6.4
On Watch,Slow Mass,7.5
O,Ssion,7.7
Time Out of Mind,Bob Dylan,9.4
Any Day,The Sea and Cake,7.5
Beware the Book of Eli,Ski Mask the Slump God,7.9
Baylor Swift,Bali Baby,7.4
Marely Barch,Barely March,7.5
7,Beach House,8.9
Murmurations,Simian Mobile Disco,7.5
JP3,Junglepussy,7.5
DNA Feelings,Aïsha Devi,7.4
Fall in Love EP,Lucas,7.0
Singularity,Jon Hopkins,8.3
The Horizon Just Laughed,Damien Jurado,8.0
Simi,BlocBoy JB,7.7
Downtown Castles Can Never Block the Sun,Ben LaMar Gay,7.9
Conexão EP,Amber Mark,8.0
Appreciation,Horse Feathers,7.1
L.O.D. EP,Desiigner,4.6
Until Death Call My Name,YoungBoy Never Broke Again,6.9
SR3MM,Rae Sremmurd,8.1
DOVE,Belly,7.2
Mixtape,Jacques Greene,6.9
Good Thing,Leon Bridges,7.2
Beyondless,Iceage,8.6
Music for Installations,Brian Eno,8.0
Rejuvenate,Paul White,7.9
Starting Today,Joe Armon-Jones,7.5
The Flowers of Romance,Public Image Ltd,9.3
Venetian Snares x Daniel Lanois,Venetian SnaresDaniel Lanois,6.9
Lost Friends,Middle Kids,6.8
Blue Dream EP,Le1f,6.9
The Good Is a Big God,Domenico Lancellotti,7.5
Knock Knock,DJ Koze,8.8
Rebound,Eleanor Friedberger,8.1
Chiquito EP,Cuco,7.4
Anticlines,Lucrecia Dalt,8.0
Hello People,Chris Reimer,7.5
Beerbongs & Bentleys,Post Malone,5.6
House With a Pool,Charge It to the Game,6.8
Poo Bear Presents: Bearthday Music,Poo Bear,4.6
Hollow Ground,Cut Worms,7.2
Girly-Sound to Guyville: The 25th Anniversary Box Set,Liz Phair,10
Miro Tape,Duppy Gun,7.4
Nothing 2 Loose,DJ Healer,8.2
Sway,Tove Styrke,7.5
Dirty Computer,Janelle Monáe,7.7
Only Love,The Armed,8.1
Facepaint EP,Buzzy Lee,6.6
With Dim Light,Minami Deutsch,7.0
Grid of Points,Grouper,7.8
Elysia Crampton,Elysia Crampton,7.6
You’re Driving Me Crazy,Van MorrisonJoey DeFrancesco,7.0
Question and Answer EP,Wata Igarashi,7.5
Perfect From Now On,Built to Spill,9.2
Trout Mask Replica,Captain Beefheart and His Magic Band,10
Gate 13,Del the Funky HomosapienAmp Live,7.4
Crop Circle,Nines,7.5
Bloodline,Steven Julien,7.1
Forth Wanderers,Forth Wanderers,7.7
Twerp Verse,Speedy Ortiz,7.4
Conquistador,Dylan Carlson,6.7
Spaghetti Factory,PeeWee Longway,6.7
A Piece of Beyond,DJ Bone,7.1
The Sciences,Sleep,8.4
Sparrow,Ashley Monroe,7.7
Not for Sale,Smoke DZA,7.3
Everywhere at the End of Time - Stage 4,The Caretaker,7.9
Lavender,Half Waif,7.8
44/876,StingShaggy,4.8
Primal Heart,Kimbra,5.9
Complicit EP,Gang of Four,5.7
KOD,J. Cole,6.3
The Scars of Man on the Once Nameless Wilderness (I and II),Panopticon,7.3
Stargate Music,Ras G & the Afrikan Space Program,6.7
Sun Go Nova,Denmark Vessey,6.4
Eat the Elephant,A Perfect Circle,4.9
Hippo Lite,DRINKS,8.0
am i happy, singing_,Ricky Eat Acid,7.9
Hahaha,Yazan,6.8
I, Jonathan,Jonathan Richman,8.7
Boxer (Live in Brussels),The National,6.0
Bless Yo Trap,SmokepurppMurda Beatz,4.8
Inter-Fusion,Shuggie Otis,4.6
When I Think of You in a Castle,Post Animal,6.9
Addendum,John Maus,7.4
Beautiful Thing,Alexis Taylor,6.8
Remains,International Harvester,8.4
ruiner,nothing,nowhere.,5.6
BC35: The 35 Year Anniversary of BC Studio,Various Artists,7.3
Joyride,Tinashe,6.8
The ArtScience Remixes EP,Robert GlasperKaytranada,6.7
Gada,Littlebabyangel,7.3
Selectors 005,Lena Willikens,7.8
Dimensional People,Mouse on Mars,7.6
A Girl Cried Red,Princess Nokia,5.9
Aphelion EP,Ross From Friends,7.1
Song for Alpha,Daniel Avery,6.7
Roxy - Tonight’s the Night Live,Neil Young,8.3
Capture the Flag,War On Women,7.6
Let Night Come on Bells End the Day,Sarah Davachi,7.5
The Underdog,GUM,7.2
Cerebral Hemispheres,Mr. Fingers,7.4
The Other,King Tuff,6.5
Challenge Me Foolish,µ-Ziq,5.8
Fragmentos EP,Florentino,7.3
The Marshall Mathers LP,Eminem,9.4
Johnny Cash: Forever Words,Various Artists,7.0
The Invisible Comes to Us,Anna & Elizabeth,7.2
Songs for Midi EP,Kwes,7.5
Connected and Respected,E-40B-Legit,6.7
Tree of Forgiveness,John Prine,7.6
Pinned,A Place to Bury Strangers,5.3
Universal Love: Wedding Songs Reimagined EP,Various Artists,6.4
Personne d’autre,Françoise Hardy,6.5
The Deconstruction,Eels,3.0
CARE FOR ME,Saba,8.7
Private Stock,Cavalier,7.5
H,Husalah,7.2
Where We Were Together,Say Sue Me,6.8
Isolation,Kali Uchis,8.6
Total Xanarchy,Lil Xan,4.7
Bellowing Sun,Mind Over Mirrors,8.0
Geography,Tom Misch,6.5
Invasion of Privacy,Cardi B,8.7
Vacation in Hell,Flatbush Zombies,7.1
Loud Patterns,Makeness,7.2
There’s Always More at the Store EP,Project Pablo,6.7
Sex & Food,Unknown Mortal Orchestra,7.0
Sextape,Glasser,7.8
The World Is Yours,Rich the Kid,6.6
Goat Girl,Goat Girl,7.5
American Recordings,Johnny Cash,8.2
Moosebumps: An Exploration Into Modern Day Horripilation,Dr. Octagon,6.7
Hellbender,Zeke,7.7
Pain & Pleasure EP,Tink,6.3
You Fucken Sucker,Paul de Jong,5.5
Bark Your Head Off, Dog,Hop Along,8.0
Sister Cities,The Wonder Years,7.1
The Louder I Call, the Faster It Runs,Wye Oak,8.0
I Don’t Run,Hinds,7.4
Golden,Kylie Minogue,5.4
Virtue,The Voidz,6.9
